"date","north_value","east_value"
"2016-09-15","67329.5149","55342.5839"
"2016-09-16","67329.5153","55342.5848"
"2016-09-17","67329.5146","55342.5853"
"2016-09-18","67329.5163","55342.5861"
"2016-09-19","67329.5139","55342.5856"
"2016-09-20","67329.5142","55342.5853"
"2016-09-21","67329.5167","55342.5841"
"2016-09-22","67329.5185","55342.5837"
"2016-09-23","67329.5161","55342.5856"
"2016-09-24","67329.5155","55342.5837"
"2016-09-25","67329.5166","55342.5845"
"2016-09-26","67329.5165","55342.5858"
"2016-09-27","67329.5129","55342.584"
"2016-09-28","67329.5157","55342.5842"
"2016-09-29","67329.5147","55342.5847"
"2016-09-30","67329.5143","55342.5836"
"2016-10-01","67329.5155","55342.5803"
"2016-10-02","67329.5141","55342.5837"
"2016-10-03","67329.5153","55342.5845"
"2016-10-04","67329.5146","55342.5841"
"2016-10-05","67329.5144","55342.5843"
"2016-10-06","67329.5153","55342.5837"
"2016-10-07","67329.5142","55342.5836"
"2016-10-08","67329.5146","55342.5823"
"2016-10-09","67329.5158","55342.5824"
"2016-10-10","67329.5144","55342.5841"
"2016-10-11","67329.5166","55342.5835"
"2016-10-12","67329.5151","55342.5859"
"2016-10-13","67329.5151","55342.5813"
"2016-10-14","67329.5177","55342.5845"
"2016-10-15","67329.5142","55342.5836"
"2016-10-16","67329.5137","55342.582"
"2016-10-17","67329.5125","55342.5794"
"2016-10-18","67329.5151","55342.5794"
"2016-10-19","67329.5123","55342.5838"
"2016-10-20","67329.5139","55342.5849"
"2016-10-21","67329.5137","55342.5831"
"2016-10-22","67329.5143","55342.5792"
"2016-10-23","67329.5147","55342.5838"
"2016-10-24","67329.5172","55342.5817"
"2016-10-25","67329.5146","55342.5793"
"2016-10-26","67329.516","55342.5837"
"2016-10-27","67329.5149","55342.5847"
"2016-10-28","67329.5146","55342.5839"
"2016-10-29","67329.5146","55342.5847"
"2016-10-30","67329.5147","55342.5843"
"2016-10-31","67329.5147","55342.5862"
"2016-11-01","67329.5147","55342.5841"
"2016-11-02","67329.515","55342.5846"
"2016-11-03","67329.5162","55342.5846"
"2016-11-04","67329.5135","55342.5839"
"2016-11-05","67329.5169","55342.584"
"2016-11-06","67329.5159","55342.5837"
"2016-11-07","67329.5151","55342.5839"
"2016-11-08","67329.5157","55342.5841"
"2016-11-09","67329.5157","55342.5839"
"2016-11-10","67329.516","55342.5847"
"2016-11-11","67329.5148","55342.5841"
"2016-11-12","67329.5158","55342.5854"
"2016-11-13","67329.516","55342.5828"
"2016-11-14","67329.5126","55342.5841"
"2016-11-15","67329.5133","55342.5799"
"2016-11-16","67329.5127","55342.576"
"2016-11-17","67329.5124","55342.5835"
"2016-11-18","67329.5154","55342.5832"
"2016-11-19","67329.5148","55342.5831"
"2016-11-20","67329.5131","55342.5803"
"2016-11-21","67329.513","55342.5847"
"2016-11-22","67329.5124","55342.5854"
"2016-11-23","67329.5132","55342.5849"
"2016-11-24","67329.5138","55342.5864"
"2016-11-25","67329.5136","55342.5852"
"2016-11-26","67329.5152","55342.5844"
"2016-11-27","67329.5156","55342.587"
"2016-11-28","67329.5151","55342.5852"
"2016-11-29","67329.5142","55342.585"
"2016-11-30","67329.5167","55342.585"
"2016-12-01","67329.5154","55342.5863"
"2016-12-02","67329.5162","55342.5862"
"2016-12-03","67329.5147","55342.5841"
"2016-12-04","67329.517","55342.5825"
"2016-12-05","67329.5151","55342.5848"
"2016-12-06","67329.513","55342.5819"
"2016-12-07","67329.5121","55342.5808"
"2016-12-08","67329.5125","55342.5833"
"2016-12-09","67329.5122","55342.5849"
"2016-12-10","67329.5135","55342.5842"
"2016-12-11","67329.5151","55342.5855"
"2016-12-12","67329.517","55342.5848"
"2016-12-13","67329.5162","55342.5845"
"2016-12-14","67329.5155","55342.5846"
"2016-12-15","67329.516","55342.5834"
"2016-12-16","67329.516","55342.585"
"2016-12-17","67329.5154","55342.5845"
"2016-12-18","67329.5153","55342.5821"
"2016-12-19","67329.5131","55342.5851"
"2016-12-20","67329.5129","55342.5806"
"2016-12-21","67329.5151","55342.5789"
"2016-12-22","67329.5155","55342.5809"
"2016-12-23","67329.5114","55342.5782"
"2016-12-24","67329.5228","55342.5858"
"2016-12-25","67329.5258","55342.5825"
"2016-12-26","67329.5198","55342.5825"
"2016-12-27","67329.5123","55342.5778"
"2016-12-28","67329.5159","55342.5851"
"2016-12-29","67329.5101","55342.5841"
"2016-12-30","67329.5152","55342.5847"
"2016-12-31","67329.5147","55342.5834"
"2017-01-01","67329.5158","55342.5841"
"2017-01-02","67329.5148","55342.5852"
"2017-01-03","67329.5145","55342.5856"
"2017-01-04","67329.5156","55342.585"
"2017-01-05","67329.5156","55342.5856"
"2017-01-06","67329.5156","55342.5845"
"2017-01-07","67329.5164","55342.5841"
"2017-01-08","67329.5162","55342.5866"
"2017-01-09","67329.5151","55342.5844"
"2017-01-10","67329.516","55342.5856"
"2017-01-11","67329.5159","55342.5853"
"2017-01-12","67329.5152","55342.5856"
"2017-01-13","67329.5159","55342.5857"
"2017-01-14","67329.5152","55342.5847"
"2017-01-15","67329.5156","55342.5856"
"2017-01-16","67329.5145","55342.5861"
"2017-01-17","67329.5156","55342.5843"
"2017-01-18","67329.5167","55342.5861"
"2017-01-19","67329.5164","55342.5856"
"2017-01-20","67329.5155","55342.5858"
"2017-01-21","67329.5152","55342.5854"
"2017-01-22","67329.5152","55342.5851"
"2017-01-23","67329.5143","55342.5886"
"2017-01-24","67329.5131","55342.5852"
"2017-01-25","67329.5081","55342.5836"
"2017-01-26","67329.5137","55342.5855"
"2017-01-27","67329.5159","55342.5867"
"2017-01-28","67329.5129","55342.5863"
"2017-01-29","67329.5144","55342.5849"
"2017-01-30","67329.5135","55342.5866"
"2017-01-31","67329.5132","55342.5849"
"2017-02-01","67329.514","55342.5848"
"2017-02-02","67329.5117","55342.5875"
"2017-02-03","67329.5108","55342.5882"
"2017-02-04","67329.5124","55342.5865"
"2017-02-05","67329.5145","55342.5852"
"2017-02-06","67329.5129","55342.5862"
"2017-02-07","67329.5134","55342.5847"
"2017-02-08","67329.5139","55342.5862"
"2017-02-09","67329.5142","55342.5877"
"2017-02-10","67329.5134","55342.5868"
"2017-02-11","67329.5138","55342.5869"
"2017-02-12","67329.5127","55342.5868"
"2017-02-13","67329.5125","55342.5855"
"2017-02-14","67329.5124","55342.5841"
"2017-02-15","67329.5144","55342.5851"
"2017-02-16","67329.5143","55342.5846"
"2017-02-17","67329.5143","55342.5857"
"2017-02-18","67329.513","55342.5864"
"2017-02-19","67329.5163","55342.5837"
"2017-02-20","67329.5192","55342.583"
"2017-02-21","67329.5171","55342.5832"
"2017-02-22","67329.5135","55342.5875"
"2017-02-23","67329.5137","55342.5867"
"2017-02-24","67329.5136","55342.5872"
"2017-02-25","67329.5186","55342.5961"
"2017-02-26","67329.5125","55342.5851"
"2017-02-27","67329.5144","55342.587"
"2017-02-28","67329.514","55342.5865"
"2017-03-01","67329.5141","55342.5865"
"2017-03-02","67329.5149","55342.5854"
"2017-03-03","67329.5148","55342.5849"
"2017-03-04","67329.5143","55342.5862"
"2017-03-05","67329.5141","55342.5869"
"2017-03-06","67329.5147","55342.5869"
"2017-03-07","67329.5142","55342.5874"
"2017-03-08","67329.5152","55342.5852"
"2017-03-09","67329.5144","55342.5867"
"2017-03-10","67329.5159","55342.5861"
"2017-03-11","67329.5153","55342.5853"
"2017-03-12","67329.515","55342.5858"
"2017-03-13","67329.5153","55342.5864"
"2017-03-14","67329.5148","55342.5854"
"2017-03-15","67329.5153","55342.5859"
"2017-03-16","67329.5146","55342.5857"
"2017-03-17","67329.5148","55342.5847"
"2017-03-18","67329.5154","55342.586"
"2017-03-19","67329.516","55342.5848"
"2017-03-20","67329.5165","55342.5852"
"2017-03-21","67329.5151","55342.5862"
"2017-03-22","67329.5163","55342.5852"
"2017-03-23","67329.5148","55342.5859"
"2017-03-24","67329.5154","55342.5856"
"2017-03-25","67329.5151","55342.585"
"2017-03-26","67329.5148","55342.5863"
"2017-03-27","67329.5153","55342.5856"
"2017-03-28","67329.5165","55342.5853"
"2017-03-29","67329.5136","55342.5863"
"2017-03-30","67329.5169","55342.5846"
"2017-03-31","67329.5143","55342.586"
"2017-04-01","67329.5164","55342.5862"
"2017-04-02","67329.5128","55342.5818"
"2017-04-03","67329.5119","55342.5866"
"2017-04-04","67329.5157","55342.5851"
"2017-04-05","67329.5136","55342.5856"
"2017-04-06","67329.5142","55342.5854"
"2017-04-07","67329.5152","55342.5842"
"2017-04-08","67329.5149","55342.585"
"2017-04-09","67329.5141","55342.5868"
"2017-04-10","67329.5142","55342.587"
"2017-04-11","67329.5129","55342.5833"
"2017-04-12","67329.5161","55342.5849"
"2017-04-13","67329.5147","55342.5831"
"2017-04-14","67329.5156","55342.5852"
"2017-04-15","67329.5145","55342.5858"
"2017-04-16","67329.5151","55342.5863"
"2017-04-17","67329.5141","55342.5831"
"2017-04-18","67329.5168","55342.5836"
"2017-04-19","67329.5154","55342.5835"
"2017-04-20","67329.5158","55342.5866"
"2017-04-21","67329.5151","55342.5839"
"2017-04-22","67329.5171","55342.5846"
"2017-04-23","67329.5163","55342.5842"
"2017-04-24","67329.5164","55342.5846"
"2017-04-25","67329.516","55342.5835"
"2017-04-26","67329.5163","55342.5848"
"2017-04-27","67329.5135","55342.5832"
"2017-04-28","67329.5142","55342.5849"
"2017-04-29","67329.5161","55342.5829"
"2017-04-30","67329.5154","55342.5845"
"2017-05-01","67329.5166","55342.5849"
